"First Name","Last Name","Organization","Title","LinkedIn","Twitter","Telegram","Discord"
"Ioan","Tăban","Openfabric AI","Business Development Manager","https://www.linkedin.com/in/ioan-t%C4%83ban-231b2765/","TBD","TBD","TBD"
"Andrei","Tara","Openfabric AI","Founder & CEO","https://www.linkedin.com/in/andreitara/","TBD","TBD","TBD"
"Hjalmar","Turesson","Openfabric AI","Scientific Advisor","https://www.linkedin.com/in/hturesson/","TBD","TBD","TBD"
"Cristina","Vasiu","Openfabric AI","Research Engineer","https://www.linkedin.com/in/cristina-vasiu-781b1554/","TBD","TBD","TBD"
"Marc","Aché","Opulous","CTO","https://www.linkedin.com/in/marcache/","TBD","TBD","TBD"
"Miles","Carroll","Opulous","Co-Founder & COO","https://www.linkedin.com/in/carrollmiles/","TBD","TBD","TBD"
"Ivam","Costa","Opulous","Community Manager","https://www.linkedin.com/in/ivam-c%C3%A9sar-costa-a7a133149/","TBD","TBD","TBD"
"Fernando","Cruz","Opulous","Chief Marketing Officer","https://www.linkedin.com/in/frcrz/","TBD","TBD","TBD"
"Jesse","Hof","Opulous","Graphic & Motion Designer","https://www.linkedin.com/in/jesse-hof-a0a882219/","TBD","TBD","TBD"
"Isabelle","Korman","Opulous","Head Of Content","https://www.linkedin.com/in/isabelle-korman/","TBD","TBD","TBD"
"Clara","Lo","Opulous","Head Of Operations","https://www.linkedin.com/in/clara-lo-876136173/","TBD","TBD","TBD"
"Joe","Mason","Opulous","Head of Artist Services","https://www.linkedin.com/in/joe-mason-48501876/","TBD","TBD","TBD"
"Jay","Moore","Opulous","Chief Investment Officer","https://www.linkedin.com/in/jayrmoore/","TBD","TBD","TBD"
"Tom","Napper","Opulous","Head of Social Media","https://www.linkedin.com/in/tom-p-napper/","TBD","TBD","TBD"
"Lee","Parsons","Opulous","CEO","https://www.linkedin.com/in/leparsons/","TBD","TBD","TBD"
"Shirlyn","Tan","Opulous","Office Manager","https://www.linkedin.com/in/shirlyntanvox/","TBD","TBD","TBD"
"Jenny","Wong","Opulous","Head Of Legal","https://www.linkedin.com/in/jenny-wong-3ab0063/","TBD","TBD","TBD"
"Caitlin","Abejon","ORE Network","Head Of Marketing","https://www.linkedin.com/in/caitlin-abejon-ba342256/","TBD","TBD","TBD"
"Marc","Blinder","ORE Network","Core Contributor","https://www.linkedin.com/in/marcblinder/","TBD","TBD","TBD"
"Dhruv Kumar","Jha","ORE Network","Software Engineer","https://www.linkedin.com/in/dhruvkumarjha/","TBD","TBD","TBD"
"Tray","Lewin","ORE Network","Key contributor / Architect","https://www.linkedin.com/in/traylewin/","TBD","TBD","TBD"
"Fen","Zhao","ORE Network","Technical Strategy","https://www.linkedin.com/in/fenzhao/","TBD","TBD","TBD"
"Rodolfo","Alvarez","ORIGINO","Desarrollador de software","https://www.linkedin.com/in/alvarezrodolfo/","TBD","TBD","TBD"
"Nicolas","Balestrini","ORIGINO","COO - Co-Founder","https://www.linkedin.com/in/nicolas-balestrini--bonvenon/","TBD","TBD","TBD"
"Patricia","Fridman","ORIGINO","PMO Manager","https://www.linkedin.com/in/patriciafridman/","TBD","TBD","TBD"
"Diego","Heinrich","ORIGINO","CEO","https://www.linkedin.com/in/diegoheinrich24/","TBD","TBD","TBD"
"Valeria","Viola","ORIGINO","Responsable de Marketing y Contenidos Digitales","https://www.linkedin.com/in/valeria-viola-b758ba135/","TBD","TBD","TBD"
"Davide","Caiulo","PlanetWatch","Data Scientist","https://www.linkedin.com/in/dcaiulo/","TBD","TBD","TBD"
"Ivan","D'Ettorr","PlanetWatch","CITO","https://www.linkedin.com/in/ivan-d-ettorre-12137058/","TBD","TBD","TBD"
"Federico","Demicheli","PlanetWatch","Advisor","https://www.linkedin.com/in/federico-demicheli-2b882b2/","TBD","TBD","TBD"
"Sara","Di Civita","PlanetWatch","Customer Service Manager","https://www.linkedin.com/in/sara-di-civita-220811130/","TBD","TBD","TBD"
"Roberto","Falzone","PlanetWatch","Senior Software Engineer Team Lead","https://www.linkedin.com/in/roberto-falzone-2619531b6/","TBD","TBD","TBD"
"Gabriella","Motta","PlanetWatch","Air Quality Specialist","https://www.linkedin.com/in/gabriella-motta-4855333/","TBD","TBD","TBD"
"Claudio","Parrinello","PlanetWatch","CEO","https://www.linkedin.com/in/claudio-parrinello-077384/","TBD","TBD","TBD"
"Paolo","Spagnolo","PlanetWatch","Advisor","https://www.linkedin.com/in/paolo-spagnolo-577330/","TBD","TBD","TBD"
"Neha","Agarwal","Quantoz Blockchain Technology","Developer","https://www.linkedin.com/in/neha-agarwal-bb022553/","TBD","TBD","TBD"
"Ron","Berndsen","Quantoz Blockchain Technology","Chairman Of The Supervisory Board","https://www.linkedin.com/in/ron-berndsen-b5720a14/","TBD","TBD","TBD"
"Alessandro","Capra","Quantoz Blockchain Technology","Frontend Engineer","https://www.linkedin.com/in/alessandrocapradesign/","TBD","TBD","TBD"
"Peter","Dekker","Quantoz Blockchain Technology","Operations Manager","https://www.linkedin.com/in/peterwillemdekker/","TBD","TBD","TBD"
"Eiko","Dekkers","Quantoz Blockchain Technology","Founding Partner, Advisor","https://www.linkedin.com/in/eiko-dekkers-0145283a/","TBD","TBD","TBD"
"Nicholas","Eastham","Quantoz Blockchain Technology","Co-founder","https://www.linkedin.com/in/nicholaseastham/","TBD","TBD","TBD"
"Roberta","Gaddoni","Quantoz Blockchain Technology","AML Compliance Officer","https://www.linkedin.com/in/robertagaddoni/","TBD","TBD","TBD"
"Nick","Haasnoot","Quantoz Blockchain Technology","CEO","https://www.linkedin.com/in/nickhaasnoot/","TBD","TBD","TBD"
"Gaston","Hendriks","Quantoz Blockchain Technology","Co-founder","https://www.linkedin.com/in/hendriksgaston/","TBD","TBD","TBD"
"Jurgen","Lieverst","Quantoz Blockchain Technology","Asset tokenization","https://www.linkedin.com/in/jurgen-lieverst-b1ba71136/","TBD","TBD","TBD"
"Elie","Naba","Quantoz Blockchain Technology","Technical Consultant","https://www.linkedin.com/in/elie-naba/","TBD","TBD","TBD"
"Suzanne","Robért","Quantoz Blockchain Technology","Software Engineer","https://www.linkedin.com/in/the-suzanne-robert/","TBD","TBD","TBD"
"Raymen","Scholten","Quantoz Blockchain Technology","Software Engineer","https://www.linkedin.com/in/raymenscholten/","TBD","TBD","TBD"
"Maximilian","Stoll","Quantoz Blockchain Technology","Softwareingenieur","https://www.linkedin.com/in/maximilian-stoll-547578209/","TBD","TBD","TBD"
"Ancy","Thomas","Quantoz Blockchain Technology","Software Engineer","https://www.linkedin.com/in/ancy-thomas-796b3664/","TBD","TBD","TBD"
"Martijn","Van Eijk","Quantoz Blockchain Technology","Lead SE & ISO","https://www.linkedin.com/in/martijnvaneijk/","TBD","TBD","TBD"
"Paul","van Grol","Quantoz Blockchain Technology","Software Developer","https://www.linkedin.com/in/paul-van-grol-53b42216b","TBD","TBD","TBD"
"George","Vasileiadis","Quantoz Blockchain Technology","Software Engineer","https://www.linkedin.com/in/george-vasileiadis-b9279589/","TBD","TBD","TBD"
"Bjorn","Wamelink","Quantoz Blockchain Technology","Co-founder","https://www.linkedin.com/in/bjornwamelink/","TBD","TBD","TBD"
"Caleb","K.","Sign.net","Founder","https://www.linkedin.com/in/calebkow/","TBD","TBD","TBD"
"Ray","Lee","Sign.net","Software Developer","https://www.linkedin.com/in/rayleeyz","TBD","TBD","TBD"
"Allison","Matthews","Sign.net","CEO","https://www.linkedin.com/in/allison-herbert-matthews-105667234","TBD","TBD","TBD"
"Toby","Seah","Sign.net","Sales Manager","https://www.linkedin.com/in/toby-seah-412921214","TBD","TBD","TBD"
"Ryo","Seah","Sign.net","Product Development Intern","https://www.linkedin.com/in/ryo-seah-13b991221","TBD","TBD","TBD"
"Ruoling","Wang","Sign.net","Operations Manager","https://www.linkedin.com/in/ruoling-wang-77922752/","TBD","TBD","TBD"
"Jason","Dowd","Siki.io","Chief Crypto Officer","https://www.linkedin.com/in/jason-dowd-30756b8a/","TBD","TBD","TBD"
"Sebastian","Espino","Siki.io","Content Strategist","https://www.linkedin.com/in/sebastian-espino-64a658151/","TBD","TBD","TBD"
"Nick","Gangi","Siki.io","Co-Founder & COO","https://www.linkedin.com/in/nick-gangi-754533171/","TBD","TBD","TBD"
"Chris","Moraites","Siki.io","Founder and CEO","https://www.linkedin.com/in/chris-moraites-24415718/","TBD","TBD","TBD"
"Nick","Bucheleres","Smile","CEO/CTO, Co-Founder","https://www.linkedin.com/in/nickeleres/","TBD","TBD","TBD"
"Ali","El-Assy","Smile","Co-Founder","https://www.linkedin.com/in/alielassy/","TBD","TBD","TBD"
"Eric","Franka","Smile","Head Of Partnerships","https://www.linkedin.com/in/eric-franka-bb65048a/","TBD","TBD","TBD"
"Sergio","Treviño","Smile","Co-Founder","https://www.linkedin.com/in/sergiotrevino/","TBD","TBD","TBD"
"Christopher","Adamo","StrtupBoost","Managing Partner","https://www.linkedin.com/in/christopher-adamo-727836146/","TBD","TBD","TBD"
"Harsimran","Kaur","StrtupBoost","Lead Digital Designer","https://www.linkedin.com/in/harsimran-kaur-94b44216/","TBD","TBD","TBD"
"Chris","Latte","StrtupBoost","Director Of Business Development","https://www.linkedin.com/in/chris-latte-8b14581b3/","TBD","TBD","TBD"
"Larry ","Lowe","StrtupBoost","Partner","https://www.linkedin.com/in/larry-lowe-3995b1173/","TBD","TBD","TBD"
"Jason","Malki ","StrtupBoost","Founder & CEO","https://www.linkedin.com/in/jasonmalki/","TBD","TBD","TBD"
"Jeff","Malki ","StrtupBoost","Head Of Partnerships","https://www.linkedin.com/in/jeff-malki-24bb27178/","TBD","TBD","TBD"
"Alexander","Rogers","StrtupBoost","Head of Product","https://www.linkedin.com/in/alexander-rogers-440797214/","TBD","TBD","TBD"
"Robert","Williams","StrtupBoost","Marketing Specialist","https://www.linkedin.com/in/robert-williams-716114225/","TBD","TBD","TBD"
"Jason","Woo","StrtupBoost","Director Of Business Development","https://www.linkedin.com/in/jason-woo-100074205/","TBD","TBD","TBD"
"Greg","Raczek","TinyChart","Founder","https://www.linkedin.com/in/grzracz/","https://twitter.com/grzracz","TBD","TBD"
"Patrick","Bennett","TxnLab Inc.","CEO / Co-Founder","https://www.linkedin.com/in/patrick-bennett/","TBD","TBD","TBD"
"Gabriel","Kuettel","TxnLab Inc.","Co-Founder","https://www.linkedin.com/in/gabrielkuettel/","TBD","TBD","TBD"
"John","Mizzoni","TxnLab Inc.","Co-Founder","https://www.linkedin.com/in/john-mizzoni/","TBD","TBD","TBD"
"Tejas","Kothari","UpsideFinance","Co-Founder","https://www.linkedin.com/in/tetek/","TBD","TBD","TBD"
"Nishant","Pandav","UpsideFinance","Co-Founder","https://www.linkedin.com/in/npanium/","TBD","TBD","TBD"
"Angel","Altuve","Vendible","Software Engineer","https://www.linkedin.com/in/angel-altuve-7b65a8174/","TBD","TBD","TBD"
"Cristiaan","Brans","Vendible","Head of Community","https://www.linkedin.com/in/memnon/","TBD","TBD","TBD"
"Douglas","Broughton","Vendible","CEO","https://www.linkedin.com/in/brought/","TBD","TBD","TBD"
"Regina","Cortes","Vendible","Program Manager","https://www.linkedin.com/in/regina-cortes/","TBD","TBD","TBD"
"Kadir","Pekel","Vendible","Principal Programmer","https://www.linkedin.com/in/kadirpekel/","TBD","TBD","TBD"
"Gwin","Scott","Vendible","Co-Founder / COO","https://www.linkedin.com/in/gscott2/","TBD","TBD","TBD"
"Alejandro","Velazco","Vendible","Full Stack Engineer","https://www.linkedin.com/in/alejandro-velazco-rodriguez-849785169/","TBD","TBD","TBD"
"Tuan","Léo","VerdeX","Technical Product Manager ","https://www.linkedin.com/in/lyngoctuan/","TBD","TBD","TBD"
"Dean","Thomas ","VerdeX","Co-Founder","https://www.linkedin.com/in/dean-stealth/","https://twitter.com/DThomasStealth","TBD","TBD"
"Laura","Asdrubal","Vesta Equity","Accounting and Finance","https://www.linkedin.com/in/laura-asdrubal-955977104/","TBD","TBD","TBD"
"Michael","Carpentier","Vesta Equity","CEO and Co-Founder","https://www.linkedin.com/in/businessdigitalstrategist/","TBD","TBD","TBD"
"Chih-Hao","Chen","Vesta Equity","Full-stack Developer","https://www.linkedin.com/in/chih-hao-chen-13583369/","TBD","TBD","TBD"
"Sylvain","Fréchette","Vesta Equity","CTO","https://www.linkedin.com/in/sylvain-fr%C3%A9chette-3a60a84/","TBD","TBD","TBD"
"Eugene","Kaydalov ","Vesta Equity","Chief Architect","https://www.linkedin.com/in/eugene-kaydalov-28431348/","TBD","TBD","TBD"
"Taylor","McClendon","Vesta Equity","Director of Business Development","https://www.linkedin.com/in/btmcclendon/","TBD","TBD","TBD"
"Imran","Rahaman","Vesta Equity","COO","https://www.linkedin.com/in/imran-rahaman-72735b31/","TBD","TBD","TBD"
"Edward","Rippen","Vesta Equity","Lead Generation Manager - Funnel Hacker","https://www.linkedin.com/in/edwardrippen/","TBD","TBD","TBD"
"Aaron","Stuiber","Vesta Equity","Customer Success Manager","https://www.linkedin.com/in/aaron-stuiber/","TBD","TBD","TBD"
"Jon","Toney","Vesta Equity","Sr. Designer / Art Director","https://www.linkedin.com/in/jon-toney-03544b1/","TBD","TBD","TBD"
"Orlando","Valdez","Vesta Equity","Director of Product Management","https://www.linkedin.com/in/orlandovaldez/","TBD","TBD","TBD"
"Jordan","J.","Waivlength","Senior React Native Developer","https://www.linkedin.com/in/jordan-j-0a8848229/","TBD","TBD","TBD"
"Niall","O'Reilly","Waivlength","CEO","https://www.linkedin.com/in/niall-oreilly/","TBD","TBD","TBD"
"Caolán","Ward ","Waivlength","CMO","https://www.linkedin.com/in/caolanward/","TBD","TBD","TBD"
"Fiachra","Ward ","Waivlength","Chief Operations Officer","https://www.linkedin.com/in/fiachraward/","TBD","TBD","TBD"
"Jael","Armas","Wayru","Mobile Application Developer","https://www.linkedin.com/in/jaelarmasm/","TBD","TBD","TBD"
"Edward","Calderón","Wayru","CTO Co-founder | Decentralized Systems Architect","https://www.linkedin.com/in/edward-calderon-0339b737/","TBD","TBD","TBD"
"Paula","Ceballos","Wayru","CCO and Founder","https://www.linkedin.com/in/paula-ceballos/","TBD","TBD","TBD"
"Charvel","Chedraui","Wayru","CEO and Founder","https://www.linkedin.com/in/charvelchedraui/","TBD","TBD","TBD"
"Santiago","Coroleu","Wayru","Content Creator / Community Enhancer","https://www.linkedin.com/in/santiago-coroleu-maurin-a49127150/","TBD","TBD","TBD"
"Agustín","Guillén","Wayru","Desarrollador de front-end","https://www.linkedin.com/in/agustin-nicolas-guillen/","TBD","TBD","TBD"
"Lesly","Maygua","Wayru","Telecom Engineer","https://www.linkedin.com/in/lesly-maygua-937927b5/","TBD","TBD","TBD"
"Neisy","Molina","Wayru","Telecom Director","https://www.linkedin.com/in/liliam-neisy-molina-valencia/","TBD","TBD","TBD"
"Silvia","Montilla","Wayru","Community Enhancer","https://www.linkedin.com/in/silviamontillacortes/","TBD","TBD","TBD"
"Diego","Serrano","Wayru","Software Engineer","https://www.linkedin.com/in/diegoserranor/","TBD","TBD","TBD"
"Laura","Vizcaíno","Wayru","Telecom Engineer","https://www.linkedin.com/in/lauram-vizcaino/","TBD","TBD","TBD"
"Qomoo","A.","Webblen","CRO","https://www.linkedin.com/in/qomooatomsa/","TBD","TBD","TBD"
"Jack","Maring","Webblen","Flutter Mobile Developer","https://www.linkedin.com/in/jack-maring-556aa9175/","TBD","TBD","TBD"
"Tyler","Odenthal","Webblen","Founder","https://www.linkedin.com/in/tyler-odenthal/","TBD","TBD","TBD"
"Carter","Razink","Webblen","CTO, Co-Founder","https://www.linkedin.com/in/carter-razink-5ab926139/","TBD","TBD","TBD"
"Kai","S.","Webblen","Co-Founder/CEO","https://www.linkedin.com/in/kaiss/","TBD","TBD","TBD"
"Nathaniel","Thoreson","Webblen","Director of Marketing & Co-Founder","https://www.linkedin.com/in/nathaniel-j-thoreson-617501120/","TBD","TBD","TBD"
"Shantanu","Chandra","Xfinite","Lead Blockchain Architect","https://www.linkedin.com/in/chandshantanu/","TBD","TBD","TBD"
"Deepak","Dhanavade","Xfinite","Manager UI UX","https://www.linkedin.com/in/deepak-dhanavade-1aa4398b/","TBD","TBD","TBD"
"Mukul","Jain","Xfinite","Blockchain Architect","https://www.linkedin.com/in/mukul-jain-ab94504a/","TBD","TBD","TBD"
"Gokul","Kumaravelu","Xfinite","Head Of Communications","https://www.linkedin.com/in/gokul-kumaravelu/","TBD","TBD","TBD"
"Vasireddy","Prakash","Xfinite","Blockchain Engineer","https://www.linkedin.com/in/vasireddy-denny-sai-prakash-769b4711b/","TBD","TBD","TBD"
"Chetan","Saxena","Xfinite","Head of Product","https://www.linkedin.com/in/chetan-saxena-09a7649/","TBD","TBD","TBD"
"S","Singh","Xfinite","CEO","https://www.linkedin.com/in/swaneet/","TBD","TBD","TBD"
"Santosh","Yellajosula","Xfinite","Chief Ecosystem Officer","https://www.linkedin.com/in/santoshyellajosula/","TBD","TBD","TBD"
"Kristy","Bayley","Yieldly","COO","https://www.linkedin.com/in/kristybayley/","TBD","TBD","TBD"
"Emily","Conway","Yieldly","Social Media Manager","https://www.linkedin.com/in/emily-conway-a38a6a224/","TBD","TBD","TBD"
"Dimitris","Farmakis","Yieldly","Head Of Esports","https://www.linkedin.com/in/dimfarmakis/","TBD","TBD","TBD"
"Timothy","Han","Yieldly","Head Of Communications","https://www.linkedin.com/in/timothyhan-sg/","TBD","TBD","TBD"
"Benjamin","Le Roux","Yieldly","Head of Marketing","https://www.linkedin.com/in/benleroux/","TBD","TBD","TBD"
"Sebastian","Quinn","Yieldly","Co-Founder | CEO","https://www.linkedin.com/in/sebastian-quinn-645457b3/","TBD","TBD","TBD"
"Nina","Stammbach","Yieldly","Operations Manager","https://www.linkedin.com/in/ninastammbach/","TBD","TBD","TBD"
"Carlos","Domingo","Zest","Advisor","https://www.linkedin.com/in/carlosdomingo/","TBD","TBD","TBD"
"Helen","Ginter","Zest","General Counsel","https://www.linkedin.com/in/helenginter/","TBD","TBD","TBD"
"Ross","Murray-Jones","Zest","CEO","https://www.linkedin.com/in/rossmurrayjones/","TBD","TBD","TBD"
"Agash","Navaranjan","Zest","CTO","https://www.linkedin.com/in/agash-navaranjan/","TBD","TBD","TBD"
"Sui","Shum","Zest","Lead Web3 Engineer","https://www.linkedin.com/in/suishum/","TBD","TBD","TBD"
"Ryan","Farrell","ZestBloom, Inc.","Co-Founder","https://www.linkedin.com/in/ryan-a-farrell-engineer/","TBD","TBD","TBD"
"Jasmine","Farrell","ZestBloom, Inc.","Co-Founder & CEO","https://www.linkedin.com/in/jasmine-i-farrell/","TBD","TBD","TBD"
"Evan","Maltz","ZestBloom, Inc.","Co-Founder","https://www.linkedin.com/in/evan-maltz-53b07b100/","TBD","TBD","TBD"
"Nicholas","Shellabarger","ZestBloom, Inc.","Co-Founder","https://www.linkedin.com/in/nicholas-shellabarger-121301150/","TBD","TBD","TBD"
"Joey","Brander","Zone","Advisor","https://www.linkedin.com/in/joeybrander/","TBD","TBD","TBD"
"Kodiswaran Babu","Janardhanan","Zone","CTO","https://www.linkedin.com/in/kodis/","TBD","TBD","TBD"
"Aslam","K.","Zone","UX/UI Designer","https://www.linkedin.com/in/aslam009/","TBD","TBD","TBD"
"Adi","Mishra","Zone","Founder & CEO","https://www.linkedin.com/in/adi-k-mishra-95004254/","TBD","TBD","TBD"
"Milap","Pathak","Zone","Head Of Operations","https://www.linkedin.com/in/milappathak/","TBD","TBD","TBD"
"Dikshit","Salian","Zone","Graphic Designer","https://www.linkedin.com/in/dikshit-salian-a8736b1b7/","TBD","TBD","TBD"
"Pradeep","Singh","Zone","Technical Writer","https://www.linkedin.com/in/pradeep-singh-942705194/","TBD","TBD","TBD"
"Mannu","Verma","Zone","Lead Operations Head","https://www.linkedin.com/in/imannu/","TBD","TBD","TBD"
"Vishvam","Vyas","Zone","Lead Operations Manager","https://www.linkedin.com/in/vishvam-vyas-b481aa181/","TBD","TBD","TBD"
